Date,Summary,Precipitation,Temperature,ApparentTemp,Humidity,WindSpeed,WindBearing,Visibility,Pressure,DailySummary
2/20/2016,Partly Cloudy,rain,2.8,-0.788888889,0.92,14.0875,235,15.9229,1021.59,Partly cloudy until night.
2/21/2016,Mostly Cloudy,rain,1.761111111,-1.416666667,0.91,10.9319,180,11.9784,1021.94,Overcast throughout the day.
2/22/2016,Mostly Cloudy,rain,6.672222222,4.033333333,0.85,13.5884,172,12.2521,1016.18,Mostly cloudy throughout the day.
2/23/2016,Mostly Cloudy,rain,7.4,6.416666667,0.88,6.279,174,14.9086,1012.25,Mostly cloudy throughout the day.
2/24/2016,Mostly Cloudy,rain,8.311111111,6.033333333,1,13.6528,170,3.4615,1007.6,Mostly cloudy throughout the day and breezy starting overnight continuing until morning.
2/25/2016,Partly Cloudy,snow,-0.111111111,-0.111111111,0.85,2.9785,259,15.8263,1018.3,Mostly cloudy throughout the day.
2/26/2016,Overcast,rain,4.861111111,3.416666667,0.96,6.5044,0,4.9105,1011.08,Foggy starting in the evening.
2/27/2016,Foggy,snow,-1.127777778,-2.788888889,1,4.8783,42,0.9016,1014.64,Foggy overnight.
2/28/2016,Partly Cloudy,rain,3.633333333,0.294444444,0.9,13.7333,119,7.8246,1017.09,Mostly cloudy throughout the day.
2/29/2016,Overcast,rain,7.127777778,4.516666667,0.8,14.1358,108,16.0517,1016.39,Overcast throughout the day.
3/1/2016,Overcast,rain,8.311111111,7.45,1,6.3273,152,4.025,1009,Foggy starting overnight continuing until morning and breezy starting in the morning continuing until afternoon.
3/2/2016,Mostly Cloudy,rain,2.222222222,-2.055555556,0.85,17.4524,281,15.8263,1014.99,Partly cloudy starting overnight.
3/3/2016,Partly Cloudy,rain,2.661111111,-0.305555556,0.85,10.8192,112,15.6492,1005.59,Mostly cloudy throughout the day.
3/4/2016,Overcast,rain,7.127777778,4.516666667,0.89,14.1358,39,15.134,996.16,Overcast throughout the day.
3/5/2016,Mostly Cloudy,rain,3.872222222,2.338888889,0.96,6.2951,250,11.8979,1007.01,Mostly cloudy starting overnight.
3/6/2016,Mostly Cloudy,rain,6.711111111,3.588888889,0.81,17.1143,141,16.0517,1004.07,Mostly cloudy throughout the day.
3/7/2016,Overcast,rain,7.616666667,5.65,0.96,10.8192,129,7.7441,1003.22,Mostly cloudy throughout the day.
3/8/2016,Mostly Cloudy,rain,6.672222222,4.016666667,0.99,13.7011,282,8.7423,1003.56,Mostly cloudy until night.
3/9/2016,Partly Cloudy,rain,2.172222222,-0.883333333,0.96,10.7548,329,6.9069,1015.34,Foggy in the morning.
3/10/2016,Partly Cloudy,rain,3.805555556,1.016666667,0.96,11.0446,341,4.0733,1009.17,Mostly cloudy throughout the day.
3/11/2016,Overcast,rain,8.866666667,6.644444444,0.89,14.1519,11,16.1,1011.37,Mostly cloudy throughout the day.
3/12/2016,Overcast,rain,7.783333333,7.783333333,0.99,4.2182,19,4.3953,1019.15,Mostly cloudy throughout the day.
3/13/2016,Mostly Cloudy,rain,4.033333333,2.505555556,0.95,6.3595,3,9.982,1022.17,Mostly cloudy throughout the day.
3/14/2016,Breezy and Overcast,rain,5.016666667,0.005555556,0.72,31.0247,30,16.1,1024.29,Partly cloudy until night and breezy in the morning.
3/15/2016,Partly Cloudy,rain,1.394444444,-1.927777778,0.79,11.2378,311,16.1,1021.89,Mostly cloudy throughout the day.
3/16/2016,Mostly Cloudy,rain,2.733333333,1.544444444,0.96,4.9588,103,7.084,1022.1,Mostly cloudy throughout the day.
3/17/2016,Mostly Cloudy,rain,3.705555556,3.705555556,0.89,3.2039,331,9.982,1030.46,Partly cloudy starting in the morning continuing until evening.
3/18/2016,Clear,rain,2.6,2.6,0.85,3.22,206,6.2951,1023.42,Foggy in the morning.
3/19/2016,Partly Cloudy,rain,4.333333333,1.622222222,0.77,11.1895,263,15.8263,1012.75,Partly cloudy overnight.
3/20/2016,Partly Cloudy,rain,1.233333333,1.233333333,0.78,4.2182,59,16.1,1018.91,Mostly cloudy until evening.
3/21/2016,Clear,rain,4.694444444,3.377777778,0.77,6.0214,159,11.8013,1014.14,Partly cloudy starting overnight.
3/22/2016,Mostly Cloudy,rain,5.966666667,5.966666667,0.79,3.0751,190,9.9015,1013.92,Mostly cloudy throughout the day.
3/23/2016,Partly Cloudy,rain,2.205555556,2.205555556,0.83,2.9141,324,10.2074,1009.24,Overcast starting in the afternoon.
3/24/2016,Overcast,rain,4.955555556,1.422222222,0.92,16.9694,330,12.2521,1001.2,Partly cloudy until night.
3/25/2016,Clear,rain,0.411111111,-2.927777778,0.65,10.4972,349,16.1,1014.66,Mostly cloudy starting in the morning.
3/26/2016,Mostly Cloudy,rain,4.45,3.083333333,0.82,6.0697,172,15.8263,1016.6,Mostly cloudy throughout the day.
3/27/2016,Overcast,rain,7.611111111,5.677777778,0.83,10.6421,293,14.812,1016.78,Mostly cloudy throughout the day.
3/28/2016,Partly Cloudy,rain,3.272222222,1.65,0.92,6.2951,140,8.05,1016.89,Foggy in the morning.
3/29/2016,Overcast,rain,9.4,8.655555556,0.83,6.5205,169,14.9086,1011.76,Mostly cloudy throughout the day.
3/30/2016,Overcast,rain,9.305555556,8.577777778,0.83,6.4078,173,12.2521,1017.7,Mostly cloudy throughout the day.
3/31/2016,Overcast,rain,13.26111111,13.26111111,0.74,10.626,162,16.1,1017.48,Partly cloudy throughout the day.
4/1/2016,Partly Cloudy,rain,11.80555556,11.80555556,0.71,13.8943,170,16.1,1014.14,Mostly cloudy throughout the day.
4/2/2016,Partly Cloudy,rain,8.977777778,5.655555556,0.58,24.8262,30,16.1,1019.98,Partly cloudy until night.
4/3/2016,Partly Cloudy,rain,7.566666667,5.655555556,0.53,10.4489,50,16.1,1023.74,Partly cloudy until morning.
4/4/2016,Clear,rain,11.6,11.6,0.65,13.8943,160,16.1,1016.29,Partly cloudy starting overnight.
4/5/2016,Partly Cloudy,rain,13.85,13.85,0.69,6.4722,182,16.1,1010.88,Partly cloudy throughout the day.
4/6/2016,Partly Cloudy,rain,15.36666667,15.36666667,0.66,9.4507,182,14.7315,1009.35,Partly cloudy starting in the morning.
4/7/2016,Partly Cloudy,rain,13.26111111,13.26111111,0.74,3.4776,283,10.2557,1011.31,Partly cloudy throughout the day.
4/8/2016,Overcast,rain,18.12777778,18.12777778,0.66,16.261,157,9.982,1006.96,Overcast throughout the day.
4/9/2016,Overcast,rain,13.73333333,13.73333333,0.96,6.4722,262,11.6725,1002.45,Overcast throughout the day.
4/10/2016,Overcast,rain,9.927777778,7.927777778,0.8,14.2968,280,9.982,1004.82,Overcast throughout the day.
4/11/2016,Overcast,rain,10,7.672222222,0.82,17.2431,291,16.1,1010.25,Mostly cloudy until evening.
4/12/2016,Clear,rain,8.2,8.2,0.93,2.9624,162,9.8532,1012.93,Foggy in the morning.
4/13/2016,Partly Cloudy,rain,10.08888889,10.08888889,0.77,3.381,293,15.8263,1010.65,Partly cloudy throughout the day.
4/14/2016,Mostly Cloudy,rain,14.26111111,14.26111111,0.77,6.2951,200,16.1,1004.01,Partly cloudy throughout the day and breezy starting in the afternoon continuing until evening.
4/15/2016,Mostly Cloudy,rain,13.21666667,13.21666667,0.62,28.2555,300,16.1,1009.6,Partly cloudy until night.
4/16/2016,Partly Cloudy,rain,11.58333333,11.58333333,0.67,16.7762,152,16.1,1012.86,Partly cloudy until night and breezy starting in the morning continuing until afternoon.
4/17/2016,Partly Cloudy,rain,14.13888889,14.13888889,0.61,11.2056,231,16.1,1011.95,Mostly cloudy throughout the day.
4/18/2016,Mostly Cloudy,rain,15.93333333,15.93333333,0.68,13.3952,176,16.1,1012.83,Foggy in the morning.
4/19/2016,Overcast,rain,15.34444444,15.34444444,0.78,11.27,330,16.1,1016.63,Mostly cloudy throughout the day.
4/20/2016,Partly Cloudy,rain,9.977777778,7.327777778,0.67,20.3504,321,15.1823,1018.24,Partly cloudy until evening.
4/21/2016,Clear,rain,5.427777778,3.083333333,0.7,10.4811,281,16.1,1027.25,Partly cloudy in the afternoon.
4/22/2016,Clear,rain,8.088888889,6.2,0.62,10.8997,140,16.1,1021.49,Partly cloudy starting in the morning.
4/23/2016,Partly Cloudy,rain,10.37777778,10.37777778,0.67,6.118,201,16.1,1010.75,Partly cloudy throughout the day.
4/24/2016,Overcast,rain,12.8,12.8,0.89,17.0177,250,6.5688,1001.71,Overcast throughout the day and breezy starting in the morning continuing until evening.
4/25/2016,Overcast,rain,6.083333333,2.461111111,0.92,19.9318,320,6.2951,1004.68,Mostly cloudy throughout the day.
4/26/2016,Partly Cloudy,rain,2.705555556,0.927777778,0.91,6.5044,291,9.982,1008.47,Partly cloudy until evening.
4/27/2016,Clear,rain,6.188888889,3.483333333,0.7,13.363,160,15.1823,1010.38,Mostly cloudy starting overnight.
4/28/2016,Mostly Cloudy,rain,5.416666667,1.105555556,0.86,24.633,300,16.1,1015.16,Mostly cloudy throughout the day.
4/29/2016,Overcast,rain,9.305555556,9.305555556,0.89,3.5259,322,15.1823,1018.14,Mostly cloudy throughout the day.
4/30/2016,Mostly Cloudy,rain,6.505555556,6.505555556,0.96,3.22,290,6.1663,1020.44,Foggy starting overnight continuing until morning.
5/1/2016,Mostly Cloudy,rain,7.733333333,7.733333333,0.96,0,0,15.134,1018.51,Mostly cloudy throughout the day.
5/2/2016,Overcast,rain,13.19444444,13.19444444,0.91,12.9283,200,9.9015,1015.52,Overcast throughout the day.
5/3/2016,Overcast,rain,13.31111111,13.31111111,0.86,11.1895,359,16.1,1011.79,Mostly cloudy throughout the day.
5/4/2016,Overcast,rain,10.53333333,10.53333333,0.93,6.1502,321,12.2521,1011.16,Mostly cloudy throughout the day.
5/5/2016,Mostly Cloudy,rain,12.66666667,12.66666667,0.81,19.9318,310,16.1,1016.96,Partly cloudy throughout the day.
5/6/2016,Partly Cloudy,rain,11.76111111,11.76111111,0.8,10.7709,352,16.1,1019.5,Partly cloudy throughout the day.
5/7/2016,Partly Cloudy,rain,11.67222222,11.67222222,0.71,6.4883,1,16.1,1016.06,Partly cloudy throughout the day.
5/8/2016,Partly Cloudy,rain,9.588888889,9.588888889,0.72,3.2683,336,16.1,1015.45,Partly cloudy throughout the day.
5/9/2016,Partly Cloudy,rain,11.46111111,11.46111111,0.78,3.22,320,16.1,1018.25,Partly cloudy throughout the day.
5/10/2016,Clear,rain,11.55,11.55,0.72,6.4883,109,16.1,1019.4,Mostly cloudy starting overnight.
5/11/2016,Overcast,rain,13.24444444,13.24444444,0.96,3.0751,150,5.9731,1015.11,Foggy in the morning.
5/12/2016,Overcast,rain,15.8,15.8,0.8,6.44,50,15.6009,1007.62,Mostly cloudy throughout the day.
5/13/2016,Overcast,rain,13.91666667,13.91666667,0.96,13.2503,257,8.05,998.15,Partly cloudy throughout the day and breezy in the afternoon.
5/14/2016,Overcast,rain,14.4,14.4,0.77,13.9587,191,15.8263,1000.33,Mostly cloudy throughout the day and breezy starting in the morning continuing until afternoon.
5/15/2016,Partly Cloudy,rain,12.24444444,12.24444444,0.93,6.6976,264,16.1,1005.53,Mostly cloudy throughout the day.
5/16/2016,Partly Cloudy,rain,7.127777778,4.977777778,0.95,11.27,252,15.1823,1016.44,Partly cloudy throughout the day.
5/17/2016,Partly Cloudy,rain,6.633333333,6.633333333,0.86,3.5742,261,16.1,1018.03,Mostly cloudy starting overnight.
5/18/2016,Mostly Cloudy,rain,8.2,8.2,0.8,3.0751,260,16.1,1018.4,Mostly cloudy throughout the day.
5/19/2016,Partly Cloudy,rain,8.983333333,8.261111111,0.83,6.1985,169,16.1,1014.3,Mostly cloudy throughout the day.
5/20/2016,Partly Cloudy,rain,11.76111111,11.76111111,0.89,6.0214,23,16.1,1013.51,Partly cloudy throughout the day.
5/21/2016,Partly Cloudy,rain,11.73333333,11.73333333,0.83,6.3595,329,16.1,1017.35,Partly cloudy starting in the morning.
5/22/2016,Partly Cloudy,rain,12.13333333,12.13333333,0.78,3.2039,329,16.1,1018.95,Partly cloudy until night.
5/23/2016,Partly Cloudy,rain,15.28333333,15.28333333,0.72,6.44,130,16.1,1015.11,Partly cloudy throughout the day.
5/24/2016,Partly Cloudy,rain,18.81666667,18.81666667,0.7,10.4328,131,16.1,1005.91,Mostly cloudy throughout the day.
5/25/2016,Overcast,rain,14.88333333,14.88333333,0.88,14.0231,290,9.982,1004.74,Mostly cloudy throughout the day.
5/26/2016,Mostly Cloudy,rain,15.48888889,15.48888889,0.85,11.2056,291,16.1,1011.05,Partly cloudy throughout the day.
5/27/2016,Clear,rain,14.93888889,14.93888889,0.9,3.2683,266,15.8263,1015.64,Partly cloudy starting in the morning.
5/28/2016,Mostly Cloudy,rain,18.17222222,18.17222222,0.79,3.1878,78,16.1,1016.01,Partly cloudy throughout the day.
5/29/2016,Partly Cloudy,rain,19.28888889,19.28888889,0.69,6.2951,110,16.1,1012.12,Partly cloudy throughout the day.
5/30/2016,Partly Cloudy,rain,21.53333333,21.53333333,0.77,11.0446,149,16.1,1007.1,Partly cloudy throughout the day.
5/31/2016,Mostly Cloudy,rain,19.82222222,19.82222222,0.73,3.2844,314,16.1,1009.85,Partly cloudy throughout the day.
6/1/2016,Partly Cloudy,rain,15.49444444,15.49444444,0.78,6.4239,182,16.1,1013.5,Mostly cloudy throughout the day.
6/2/2016,Overcast,rain,16.71666667,16.71666667,0.83,18.837,201,15.8263,1012.85,Mostly cloudy throughout the day.
6/3/2016,Mostly Cloudy,rain,15.46666667,15.46666667,0.96,3.22,90,15.8263,1010.61,Mostly cloudy throughout the day.
6/4/2016,Mostly Cloudy,rain,15.51111111,15.51111111,0.93,6.4883,339,16.1,1009.55,Mostly cloudy throughout the day.
6/5/2016,Mostly Cloudy,rain,16.13888889,16.13888889,0.93,3.5742,291,15.1823,1012.12,Mostly cloudy throughout the day.
6/6/2016,Mostly Cloudy,rain,17.15,17.15,0.93,11.27,338,16.1,1013.97,Partly cloudy throughout the day.
6/7/2016,Partly Cloudy,rain,16.64444444,16.64444444,0.58,10.8192,32,16.1,1019.22,Partly cloudy until night.
6/8/2016,Clear,rain,12.13333333,12.13333333,0.78,0,0,16.1,1021.83,Partly cloudy starting in the morning.
6/9/2016,Partly Cloudy,rain,14.77777778,14.77777778,0.79,6.44,190,16.1,1015.62,Partly cloudy throughout the day.
6/10/2016,Partly Cloudy,rain,15.53888889,15.53888889,0.89,11.27,50,16.1,1011.63,Mostly cloudy throughout the day.
6/11/2016,Mostly Cloudy,rain,17.57777778,17.57777778,0.92,8.05,240,16.1,1011.33,Mostly cloudy throughout the day.
6/12/2016,Mostly Cloudy,rain,16.64444444,16.64444444,0.93,14.0714,71,15.7297,1010.53,Mostly cloudy throughout the day.
6/13/2016,Mostly Cloudy,rain,17.15,17.15,1,3.22,330,9.982,1006.06,Mostly cloudy throughout the day.
6/14/2016,Mostly Cloudy,rain,15.97222222,15.97222222,0.97,11.1251,310,15.6492,1000.37,Partly cloudy throughout the day.
6/15/2016,Mostly Cloudy,rain,16.08888889,16.08888889,0.9,6.1502,270,16.1,1001.32,Mostly cloudy throughout the day.
6/16/2016,Partly Cloudy,rain,15.44444444,15.44444444,0.96,0.1449,210,16.0517,1008.22,Partly cloudy throughout the day.
6/17/2016,Mostly Cloudy,rain,24.23888889,24.23888889,0.63,27.4505,150,16.1,1005.13,Mostly cloudy throughout the day.
6/18/2016,Overcast,rain,19.83333333,19.83333333,0.71,6.44,240,16.1,1015.5,Partly cloudy throughout the day.
6/19/2016,Partly Cloudy,rain,17.08333333,17.08333333,0.87,3.3166,55,16.1,1015.65,Mostly cloudy throughout the day.
6/20/2016,Mostly Cloudy,rain,17.66666667,17.66666667,1,10.7548,321,10.2074,1013.95,Mostly cloudy throughout the day.
6/21/2016,Partly Cloudy,rain,20.32777778,20.32777778,0.79,6.5205,319,15.8263,1019.93,Mostly cloudy throughout the day.
6/22/2016,Mostly Cloudy,rain,21.46111111,21.46111111,0.92,3.22,350,15.1823,1022.35,Partly cloudy throughout the day.
6/23/2016,Partly Cloudy,rain,21.68888889,21.68888889,0.86,6.1341,349,16.1,1022.07,Partly cloudy until night.
6/24/2016,Partly Cloudy,rain,22.12777778,22.12777778,0.93,6.2307,19,16.0517,1020.16,Partly cloudy until night.
6/25/2016,Partly Cloudy,rain,22.78888889,22.78888889,0.73,10.8031,120,16.1,1016.31,Partly cloudy throughout the day.
6/26/2016,Clear,rain,22.80555556,22.80555556,0.82,3.0912,154,16.1,1012.83,Partly cloudy overnight.
6/27/2016,Overcast,rain,21.62222222,21.62222222,0.81,15.8907,312,15.8263,1014.62,Mostly cloudy throughout the day.
6/28/2016,Overcast,rain,19.79444444,19.79444444,0.79,19.9318,290,16.0517,1013.7,Mostly cloudy throughout the day.
6/29/2016,Partly Cloudy,rain,16.62777778,16.62777778,0.96,3.059,333,16.1,1015.14,Partly cloudy until evening.
6/30/2016,Clear,rain,16.64444444,16.64444444,0.92,0,0,16.1,1015.73,Partly cloudy starting in the morning.
7/1/2016,Partly Cloudy,rain,20.01111111,20.01111111,0.87,0,0,16.1,1015.53,Partly cloudy throughout the day.
7/2/2016,Partly Cloudy,rain,19.97777778,19.97777778,0.87,6.279,330,16.1,1016.26,Partly cloudy starting in the morning.
7/3/2016,Partly Cloudy,rain,22.10555556,22.10555556,0.84,6.44,140,16.1,1012.51,Partly cloudy starting overnight.
7/4/2016,Overcast,rain,19.76666667,19.76666667,0.56,19.9318,310,16.1,1019.09,Partly cloudy throughout the day.
7/5/2016,Clear,rain,15,15,0.82,3.22,310,16.1,1020.03,Partly cloudy starting overnight.
7/6/2016,Partly Cloudy,rain,17.76111111,17.76111111,0.78,3.1717,188,16.1,1014.68,Mostly cloudy throughout the day.
7/7/2016,Mostly Cloudy,rain,18.78888889,18.78888889,0.61,10.5777,330,16.1,1017.16,Partly cloudy until night.
7/8/2016,Partly Cloudy,rain,12.80555556,12.80555556,0.8,2.9141,196,16.1,1020.63,Partly cloudy starting in the morning.
7/9/2016,Partly Cloudy,rain,17.17777778,17.17777778,0.7,6.0375,130,16.1,1017.72,Partly cloudy throughout the day.
7/10/2016,Partly Cloudy,rain,16.66666667,16.66666667,0.81,6.4239,272,16.1,1017.46,Partly cloudy throughout the day.
7/11/2016,Partly Cloudy,rain,20.44444444,20.44444444,0.62,6.6654,120,16.1,1016.92,Partly cloudy starting in the morning.
7/12/2016,Partly Cloudy,rain,18.84444444,18.84444444,0.78,6.44,120,16.1,1014.41,Partly cloudy until night.
7/13/2016,Clear,rain,25.25555556,25.25555556,0.55,14.0392,150,16.1,1010.09,Partly cloudy starting in the morning continuing until night.
7/14/2016,Mostly Cloudy,rain,26.22777778,26.22777778,0.62,12.5419,182,15.8263,1006.63,Mostly cloudy throughout the day.
7/15/2016,Partly Cloudy,rain,16.01111111,16.01111111,0.75,11.3988,321,16.1,1015.7,Mostly cloudy throughout the day.
7/16/2016,Overcast,rain,16.06666667,16.06666667,0.84,24.6813,10,15.8263,1013.53,Mostly cloudy throughout the day.
7/17/2016,Partly Cloudy,rain,13.03333333,13.03333333,0.96,3.1878,68,15.8263,1014.24,Mostly cloudy throughout the day.
7/18/2016,Mostly Cloudy,rain,16.13333333,16.13333333,0.92,16.8245,301,15.1823,1015.7,Partly cloudy throughout the day.
7/19/2016,Partly Cloudy,rain,18.30555556,18.30555556,0.84,11.2378,281,16.1,1017.37,Partly cloudy throughout the day.
7/20/2016,Partly Cloudy,rain,17.20555556,17.20555556,0.87,0.3703,310,16.1,1018.34,Partly cloudy until night.
7/21/2016,Clear,rain,16.08888889,16.08888889,0.93,0,0,16.1,1016.71,Partly cloudy starting in the morning.
7/22/2016,Partly Cloudy,rain,19.86111111,19.86111111,0.82,6.44,170,16.1,1015.31,Partly cloudy until night.
7/23/2016,Partly Cloudy,rain,20.02777778,20.02777778,0.93,0,0,16.1,1015.43,Partly cloudy starting overnight.
7/24/2016,Partly Cloudy,rain,24.7,24.7,0.76,14.49,90,15.7297,1015.53,Partly cloudy throughout the day.
7/25/2016,Mostly Cloudy,rain,21.66666667,21.66666667,0.9,0.1288,120,16.1,1016.63,Mostly cloudy throughout the day.
7/26/2016,Mostly Cloudy,rain,20.41666667,20.41666667,0.87,6.4883,339,16.1,1015.36,Foggy overnight.
7/27/2016,Foggy,rain,18.37222222,18.37222222,1,0,0,0.5957,1016.31,Foggy until morning.
7/28/2016,Clear,rain,21.04444444,21.04444444,0.97,0,0,10.2557,1014.71,Partly cloudy starting overnight.
7/29/2016,Mostly Cloudy,rain,20.43888889,20.43888889,0.93,2.9463,99,14.6349,1014.37,Partly cloudy throughout the day.
7/30/2016,Partly Cloudy,rain,20.90555556,20.90555556,0.93,3.22,200,12.2199,1014.53,Partly cloudy starting in the morning.
7/31/2016,Partly Cloudy,rain,20.99444444,20.99444444,0.87,0,0,16.1,1014.92,Partly cloudy starting in the morning.
8/1/2016,Partly Cloudy,rain,21.71111111,21.71111111,0.76,6.1502,141,16.1,1010.38,Mostly cloudy throughout the day.
8/2/2016,Overcast,rain,20.95,20.95,0.74,14.007,319,15.8263,1015.11,Mostly cloudy throughout the day.
8/3/2016,Partly Cloudy,rain,17.52777778,17.52777778,0.9,3.5581,293,16.1,1016.37,Partly cloudy throughout the day.
8/4/2016,Partly Cloudy,rain,17.71111111,17.71111111,0.9,0,0,16.1,1016.73,Partly cloudy starting in the morning continuing until night.
